name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
,,,,,,50ml Eau de parfum,783320412394,2215000,standard,100,,,
,,,,,,10ml Eau de parfum (Mini),783320412646,960000,standard,100,,,
Nước hoa nữ Allegra Fantasia Veneta EDP,nuoc-hoa-nu-allegra-fantasia-veneta-edp,"Hương chính: Hoắc hương và Quả đào đỏ  
<p>Được tôn vinh bởi bước đột phá, thương hiệu Bvlgari đã mang tầm nhìn tiên phong của mình vươn xa hơn nữa cho một trải nghiệm mùi hương hoàn toàn mới, dành riêng cho từng cá tính với dòng nước hoa Allegra Eau De Parfume mang tinh thần La Mã rất riêng và phong cách Italy táo bạo. Mỗi mùi hương BVLGARI Allegra được tạo ra với sự tỉ mỉ đến từng chi tiết hệt như một bộ trang sức cao cấp. Thay vì hồng ngọc hay sapphire, đá quý ở đây chính là những chất liệu thô từ Mẹ Thiên nhiên được tinh chế độc quyền để bạn có thể mang theo bên người.</p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645118171.3344.jpg"" alt=""""/></p>
<p>Thuộc BST BVLGARI Allegra, hương thơm <strong>Allegra Fantasia Veneta</strong> thể hiện sự quyến rũ, sang trọng đậm chất Ý cùng với sự gợi cảm lung linh. Một hương thơm mang phong cách mùa lễ hội, tô điểm thêm phần lộng lẫy và tinh tế khi mang bạn đến với lễ hội độc đáo và hoa lệ nhất xứ Italy – Lễ hội Carnival huyền thoại của Venice. Sự kết hợp đầy sang trọng của Hoắc hương Indonesia xa hoa đặc hữu của Bvlgari, Đào đỏ cùng Vanilla sẽ làm sống lại những ngày hội hè vàng son bậc nhất tại Italy, nơi có những bộ váy cùng mặt nạ tinh xảo, và cả những chòm đèn pha lê lộng lẫy thắp sáng cả một vùng trời đêm. Mùi hương này quý giá như một bức thư mời đến vũ hội hoá trang lộng lẫy rực rỡ. Và cũng như một buổi tiệc đầy bất ngờ, ôm ấp bạn trong sự xa hoa sang trọng của hội hè, Fantasia Veneta mang lại sự kích thích như khi bạn lưu lại ấn tượng của chính mình tại một buổi tiệc đặc biệt.</p>
<p>Khi <strong>Allegra Fantasia Veneta</strong> kết hợp cùng tinh chất Magnifying chắc chắn sẽ khơi dậy những cảm xúc mãnh liệt, mang đến cho phái đẹp niềm vui xuất thần như khi cạnh bên những món trang sức lộng lẫy nhất. Chỉ trong dòng nước hoa này, bạn mới có cơ hội trải nghiệm mùi hương hết sức riêng biệt, có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp.</p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200214_391036.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Parfum|Nhóm hương:Hương Síp|Nhóm hương:Chypre|Phong cách:Lộng Lẫy|Phong cách:Xa Hoa|Phong cách:Rực Rỡ,size,100ml Eau de parfum,783320412431,3165000,standard,100,,,
,,,,,,50ml Eau de parfum,783320412387,2215000,standard,100,,,
,,,,,,10ml Eau de parfum (Mini),783320412639,960000,standard,100,,,
Nước hoa nữ Allegra Dolce Estasi EDP,nuoc-hoa-nu-allegra-dolce-estasi-edp,"Hương chính: Xạ hương và hoa Vòi voi 
<p>Được tôn vinh bởi bước đột phá, thương hiệu Bvlgari đã mang tầm nhìn tiên phong của mình vươn xa hơn nữa cho một trải nghiệm mùi hương hoàn toàn mới, dành riêng cho từng cá tính với dòng nước hoa Allegra Eau De Parfume mang tinh thần La Mã rất riêng và phong cách Italy táo bạo. Mỗi mùi hương BVLGARI Allegra được tạo ra với sự tỉ mỉ đến từng chi tiết hệt như một bộ trang sức cao cấp. Thay vì hồng ngọc hay sapphire, đá quý ở đây chính là những chất liệu thô từ Mẹ Thiên nhiên được tinh chế độc quyền để bạn có thể mang theo bên người.</p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645117508.7126.jpg"" alt=""""/> </p>
<p>Thuộc BST BVLGARI Allegra, hương thơm <strong>Allegra Dolce Estasi</strong> là một mùi hương thơm ngon, sẽ mang bạn đến với “pasticcerie” – cửa hàng bánh kẹo trứ danh xứ Italy. Đây sẽ là một chuyến đi ngược thời gian, trở về với những kỉ niệm êm ái thuở ấu thơ với kẹo ngọt, bánh ngon cùng những chiếc ôm ấm áp của gia đình. Mùi hương hoa cỏ thơ mộng này lấy trung tâm là hoa vòi voi – nốt hương phấn tựa vị kem ngon lành, điểm thêm chút cam quýt chua ngọt với lớp xạ hương êm dịu mượt mà tựa chiếc bánh ngọt ngào. “Tôn vinh sự ngọt ngào, tạo ra cảm giác yên lòng như vòng tay âu yếm tuyệt diệu của gia đình, tinh tế như chiếc hôn dịu dàng hay khi vuốt ve nhẹ nhàng lên làn da.&#34; - đó mới chính là <strong>Allegra Dolce Estasi. </strong></p>
<p>Khi <strong>Allegra Dolce Estasi</strong> kết hợp cùng tinh chất Magnifying chắc chắn sẽ khơi dậy những cảm xúc mãnh liệt, mang đến cho phái đẹp niềm vui xuất thần như khi cạnh bên những món trang sức lộng lẫy nhất. Chỉ trong dòng nước hoa này, bạn mới có cơ hội trải nghiệm mùi hương hết sức riêng biệt, có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp.</p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200214_267711.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Parfum|Nhóm hương:Hương Hoa Cỏ|Nhóm hương:Floral|Phong cách:Nữ Tính|Phong cách:Dịu Dàng|Phong cách:Tự Tin,size,100ml Eau de parfum,783320412400,3165000,standard,100,,,
,,,,,,50ml Eau de parfum,783320412509,2215000,standard,100,,,
,,,,,,10ml Eau de parfum (Mini),783320412653,960000,standard,100,,,
Nước hoa nữ Allegra Spettacolore EDP,nuoc-hoa-nu-allegra-spettacolore-edp,"Hương chính: Hoa Diên vĩ, Nhựa thơm 
<p>Được tôn vinh bởi bước đột phá, thương hiệu Bvlgari đã mang tầm nhìn tiên phong của mình vươn xa hơn nữa cho một trải nghiệm mùi hương hoàn toàn mới, dành riêng cho từng cá tính với dòng nước hoa Allegra Eau De Parfume mang tinh thần La Mã rất riêng và phong cách Italy táo bạo. Mỗi mùi hương BVLGARI Allegra được tạo ra với sự tỉ mỉ đến từng chi tiết hệt như một bộ trang sức cao cấp. Thay vì hồng ngọc hay sapphire, đá quý ở đây chính là những chất liệu thô từ Mẹ Thiên nhiên được tinh chế độc quyền để bạn có thể mang theo bên người.</p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645116044.0081.jpg"" alt=""""/></p>
<div class=""page"" title=""Page 8"">
<div class=""section"">
<div class=""layoutArea"">
<div class=""column"">
<p>Thuộc BST BVLGARI Allegra, hương thơm Allegra Spectacolore là “Một sự bùng nổ rực rỡ của ánh sáng. Vẻ đẹp lung linh hương phấn từ hoa Diên vĩ làm bật lên mùi hương đầy mê hoặc của Nhựa thơm Một Dược về đêm.” Allegra Spectacolore sẽ đưa bạn đến Puglia ở Ý vào một đêm mê hoặc nhất, để bạn cảm nhận thời gian dường như chậm đi khi những giờ tối từ hoàng hôn đến bình minh thạt dài và đầy bí ẩn trong cảnh tượng lộng lẫy của Festa Della Luce. Hương thơm Spectacolore như gợi lên sự rung cảm của buổi đêm - một mùi hương hiếm có tương phản giữa ánh sáng và bóng tối, khi ánh sáng được thu vào bởi hoa Diên vi - một nốt hương hoa phong phú trong khi Nhựa thơm gợi lên sự ấm áp với làn hương mãnh liệt và bí ẩn. </p>
<p>Khi Allegra Spectacolore kết hợp cùng tinh chất Magnifying chắc chắn sẽ khơi dậy những cảm xúc mãnh liệt, mang đến cho phái đẹp niềm vui xuất thần như khi cạnh bên những món trang sức lộng lẫy nhất. Chỉ trong dòng nước hoa này, bạn mới có cơ hội trải nghiệm mùi hương hết sức riêng biệt, có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp.  </p>
</div>
</div>
</div>
</div> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200214_145726.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Parfum|Nhóm hương:Hương Hoa Cỏ|Nhóm hương:Floral|Phong cách:Nổi Bật|Phong cách:Cuốn Hút|Phong cách:Bí Ẩn,size,100ml Eau de parfum,783320415548,3165000,standard,100,,,
,,,,,,50ml Eau de parfum,783320415555,2215000,standard,100,,,
Tinh chất nước hoa Allegra Magnifying Musk Essence EDP,tinh-chat-nuoc-hoa-allegra-magnifying-musk-essence-edp,"Hương chính: Xạ hương và Ambrette 
<p>Lần đầu tiên trong suốt nhiều năm sáng tạo mùi hương, Bvlgari chính thức ra mắt dòng nước hoa cao cấp gây ấn tượng từ thiết kế, ý tưởng cho đến mùi hương và cả một hệ sinh thái mang tên Allegra. Ngoài 7 hương nước hoa độc đáo tôn vinh tinh thần La Mã rất riêng và phong cách Italy táo bạo, Bvlgari còn cho ra mắt BST nước hoa hoàn toàn mang sắc trắng được lấy tên gọi là Magnifying. Đây chính là 6 tinh chất chứa đựng hàm lượng đậm đặc những nguyên liệu quý giá được chưng cất từ những vụ mùa bội thu, với mục đích trở thành hương thơm hòa quyện hoàn hảo với bất kì mùi hương nào trong bộ sưu tập năm mùi hương chính eau de parfum.</p>
<p><strong>Magnifying Musk</strong> là chất xúc tác mạnh mẽ nhất trong tất cả các tinh chất nước hoa có mặt ở đây, không chỉ đơn thuần là làn hương nhẹ nhàng, cuốn hút và đầy ấm áp, không những tạo nên sự thân mật, quyến luyến ngay từ cái chạm đầu tiên mà xạ hương còn giúp hương nước hoa Allegra trở nên thăng hoa và nở rộ. </p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645109811.7121.jpg"" alt=""""/></p>
<p><strong><em>“Mọi nguyên liệu thô diệu kì nhất đều về La Mã, mọi mùi hương đều sẽ đến với La Mã.”</em></strong> – Bậc thầy chế tác nước hoa Jacques Cavallier nói về ý tưởng cho ra đời Magnifying essence - BST độc nhất 1 mùi hương để các tín đồ nước hoa thoả sức sáng tạo mùi hương của riêng mình.</p>
<p>Như là chóp kem cuộn xoáy trên ốc quế Gelato, một chút Magnifying essence sẽ làm cho rung cảm của eau de parfum thêm mãnh liệt hoặc hòa quyện cùng nhau, mang lại chất “molto” tột cùng, đậm phong cách Italy. Với trải nghiệm mùi hương hết sức riêng biệt này, bạn có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp.</p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200210_283376.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Parfum|Nhóm hương:Hương Hoa Cỏ Gỗ Xạ Hương|Nhóm hương:Floral Woody Musk|Phong cách:Ấm Áp|Phong cách:Thân Mật |Phong cách: Thăng Hoa,,,783320412738,2535000,standard,100,,,
Tinh chất nước hoa Allegra Magnifying Vanilla Essence EDP,tinh-chat-nuoc-hoa-allegra-magnifying-vanilla-essence-edp,"Hương chính: Madagascar Vanilla 
<p>Lần đầu tiên trong suốt nhiều năm sáng tạo mùi hương, Bvlgari chính thức ra mắt dòng nước hoa cao cấp gây ấn tượng từ thiết kế, ý tưởng cho đến mùi hương và cả một hệ sinh thái mang tên Allegra. Ngoài 7 hương nước hoa độc đáo tôn vinh tinh thần La Mã rất riêng và phong cách Italy táo bạo, Bvlgari còn cho ra mắt BST nước hoa hoàn toàn mang sắc trắng được lấy tên gọi là Magnifying. Đây chính là 6 tinh chất chứa đựng hàm lượng đậm đặc những nguyên liệu quý giá được chưng cất từ những vụ mùa bội thu, với mục đích trở thành hương thơm hòa quyện hoàn hảo với bất kì mùi hương nào trong bộ sưu tập năm mùi hương chính eau de parfum.</p>
<p><strong>Magnifying Vanilla</strong> là hương thơm ngọt ngào nhất trong số tất cả những tinh chất nước hoa, hay được mệnh danh là mùi hương của sự quyến rũ, gợi cảm đầy mê hoặc, nhưng lại rất phá cách khi mang đến cảm giác thú vị và gây nghiện cho hương nước hoa Allegra của bạn.</p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645108529.2152.jpg"" alt=""""/></p>
<p><strong><em>“Mọi nguyên liệu thô diệu kì nhất đều về La Mã, mọi mùi hương đều sẽ đến với La Mã.”</em></strong> – Bậc thầy chế tác nước hoa Jacques Cavallier nói về ý tưởng cho ra đời Magnifying essence - BST độc nhất 1 mùi hương để các tín đồ nước hoa thoả sức sáng tạo mùi hương của riêng mình.</p>
<p>Như là chóp kem cuộn xoáy trên ốc quế Gelato, một chút Magnifying essence sẽ làm cho rung cảm của eau de parfum thêm mãnh liệt hoặc hòa quyện cùng nhau, mang lại chất “molto” tột cùng, đậm phong cách Italy. Với trải nghiệm mùi hương hết sức riêng biệt này, bạn có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp.</p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200210_164125.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Parfum|Nhóm hương:Hương Va|Nhóm hương:Ni Phương Đông|Nhóm hương:Oriental Vanilla|Phong cách:Phá Cách|Phong cách:Thú Vị|Phong cách:Cuốn Hút,,,783320412837,2535000,standard,100,,,
Tính chất nước hoa Allegra Magnifying Patchouli Essence EDP,tinh-chat-nuoc-hoa-allegra-magnifying-patchouli-essence-edp,"Hương chính: Hoắc hương Indonesia, hương gỗ, dương xỉ  
<p>Lần đầu tiên trong suốt nhiều năm sáng tạo mùi hương, Bvlgari chính thức ra mắt dòng nước hoa cao cấp gây ấn tượng từ thiết kế, ý tưởng cho đến mùi hương và cả một hệ sinh thái mang tên Allegra. Ngoài 7 hương nước hoa độc đáo tôn vinh tinh thần La Mã rất riêng và phong cách Italy táo bạo, Bvlgari còn cho ra mắt BST nước hoa hoàn toàn mang sắc trắng được lấy tên gọi là Magnifying. Đây chính là 6 tinh chất chứa đựng hàm lượng đậm đặc những nguyên liệu quý giá được chưng cất từ những vụ mùa bội thu, với mục đích trở thành hương thơm hòa quyện hoàn hảo với bất kì mùi hương nào trong bộ sưu tập năm mùi hương chính eau de parfum.</p>
<p><strong>Magnifying Patchouli</strong> là nốt xạ hương đầy táo bạo, hoà quyện cùng hương thơm mê hoặc từ gỗ để mang đến cảm giác mạnh mẽ, cá tính đầy quyến rũ, đồng thời giúp hương nước hoa Allegra trở nên sâu lắng, nồng nàn hơn bao giờ hết.</p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645107006.5232.jpg"" alt=""""/></p>
<p><strong><em>“Mọi nguyên liệu thô diệu kì nhất đều về La Mã, mọi mùi hương đều sẽ đến với La Mã.”</em></strong> – Bậc thầy chế tác nước hoa Jacques Cavallier nói về ý tưởng cho ra đời Magnifying essence - BST độc nhất 1 mùi hương để các tín đồ nước hoa thoả sức sáng tạo mùi hương của riêng mình.</p>
<p>Như là chóp kem cuộn xoáy trên ốc quế Gelato, một chút Magnifying essence sẽ làm cho rung cảm của eau de parfum thêm mãnh liệt hoặc hòa quyện cùng nhau, mang lại chất “molto” tột cùng, đậm phong cách Italy. Với trải nghiệm mùi hương hết sức riêng biệt này, bạn có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp.</p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200209_916913.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Phát hành:2022|Nồng độ:Eau De Parfum|Phong cách:Táo Bạo|Phong cách:Nồng Nàn,,,783320412813,2535000,standard,100,,,
Tinh chất nước hoa Allegra Magnifying Myrrh EDP,tinh-chat-nuoc-hoa-allegra-magnifying-myrrh-edp,"Hương chính: Nhựa thơm Myrrth và hổ phách trắng  
<p>Lần đầu tiên trong suốt nhiều năm sáng tạo mùi hương, Bvlgari chính thức ra mắt dòng nước hoa cao cấp gây ấn tượng từ thiết kế, ý tưởng cho đến mùi hương và cả một hệ sinh thái mang tên Allegra. Ngoài 7 hương nước hoa độc đáo tôn vinh tinh thần La Mã rất riêng và phong cách Italy táo bạo, Bvlgari còn cho ra mắt BST nước hoa hoàn toàn mang sắc trắng được lấy tên gọi là Magnifying. Đây chính là 6 tinh chất chứa đựng hàm lượng đậm đặc những nguyên liệu quý giá được chưng cất từ những vụ mùa bội thu, với mục đích trở thành hương thơm hòa quyện hoàn hảo với bất kì mùi hương nào trong bộ sưu tập năm mùi hương chính eau de parfum.</p>
<p><strong>Magnifying Myrrth</strong> là hương nhựa thơm đầy ấm áp xa hoa, khi vừa đủ để gợi tả đặc trưng của thương hiệu Bvlgari: vừa rực rỡ, vừa huyền bí, vừa đủ để cảm nhận hương nước hoa Allegra đầy sức sống lạc quan, tươi vui, nhưng cũng thật sắc sảo và chìm đắm.</p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645096336.4595.jpg"" alt=""""/></p>
<p><strong><em>“Mọi nguyên liệu thô diệu kì nhất đều về La Mã, mọi mùi hương đều sẽ đến với La Mã.”</em> </strong><strong>– </strong>Bậc thầy chế tác nước hoa Jacques Cavallier nói về ý tưởng cho ra đời Magnifying essence - BST độc nhất 1 mùi hương để các tín đồ nước hoa thoả sức sáng tạo mùi hương của riêng mình.  </p>
<p>Như là chóp kem cuộn xoáy trên ốc quế Gelato, một chút Magnifying essence sẽ làm cho rung cảm của eau de parfum thêm mãnh liệt hoặc hòa quyện cùng nhau, mang lại chất “molto” tột cùng, đậm phong cách Italy. Với trải nghiệm mùi hương hết sức riêng biệt này, bạn có thể tự tay mình tạo ra một hương thơm, được tiếp lửa từ sự sáng tạo của chính bạn mà sẽ không có mùi hương nào trùng lặp. </p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200209_794178.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Phát hành:2022|Nồng độ:Eau De Parfum|Nhóm hương:Hương Gỗ Thơm|Nhóm hương:Woody Aromatic|Phong cách:Ấm áp|Phong cách:Rực Rỡ |Phong cách: Huyền Bí,,,783320415517,2535000,standard,100,,,
Nước hoa nữ Bvlgari Splendida Patchouli Tentation EDP,nuoc-hoa-nu-bvlgari-splendida-patchouli-tentation-edp,"Hương đầu: Tinh chất hoắc hương &amp; tinh chất từ quả đào trắng<br/>
Hương giữa: Tinh chất hoắc hương &amp; tinh chất hoa diên vĩ absolute<br/>
Hương cuối: Lá Hoắc hương Indonesia &amp; xạ hương trắng (accord) 
<p>Bộ sưu tập SPLENDIDA BVLGARI được lấy cảm hững từ những viên &#34;đá quý&#34; trong thiên nhiên và biến chúng thành những hương thơm thanh lịch để phái đẹp khoác lên mình như một món trang sức. Mỗi mùi hương của dòng nước hoa này tượng trưng cho một khía cạnh của người phụ nữ khi được thể hiện qua 1 loài hoa quý. Iris, hoa hồng, hoa nhài, mộc lan và hoa huệ đã được Bvlgari &#34;chọn mặt gửi vàng&#34;. Vào năm 2020, thương hiệu đình đám này đã tiếp tục tung ra phiên bản PATCHOULI TENTATION - một đoá hoắc hương đầy mê hoặc. </p>
<p>Vào năm 2017, Iris d&#39;Or, Rose Rose và Jasmin Noir đã xuất hiện. Năm 2018, bộ sưu tập có sự tham gia của Magnolia Sensuel, và vào năm 2019, Tubereuse Mystique ra mắt. Đến năm 2020, PATCHOULI TENTATION đã tiếp nối thành công vang dội của dòng nước hoa này khi mang hương hoa chypre rực rỡ và không thể cưỡng lại được.</p>
<p style=""text-align: center;""> <img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645093227.6374.jpg"" alt=""""/></p>
<p>Thành phần của PATCHOULI TENTATION dựa trên ba loại hoắc hương, đó là tinh chất hoắc hương và cây hoắc hương từ đảo Flores, và tinh chất hoắc hương từ Indonesia kết hợp với trái cây, hoa diên vĩ và xạ hương mang đến hương thơm tựa như &#34;sự tiến hóa của sự cám dỗ&#34; khi tiết lộ 2 khía cạnh tương phản độc đáo của hoắc hương và cũng là gợi tả vẻ đẹp của người phụ nữ hiện đại: vừa gợi cảm mãnh liệt, vừa vô cùng rực rỡ.</p>
<p>PATCHOULI TENTATION vẫn mang thiết kế đặc trưng của dòng nước hoa SPLENDIDA BVLGARI nhưng nay được khoác lên mình sắc trắng tinh khiết, đầy thanh lịch và giản dị nhưng chẳng hề tầm thường. </p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200209_676763.png,Sản phẩm:Nước hoa|Nhãn hiệu:Bvlgari|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Parfum|Nhóm hương:Hương Hoa Cỏ Síp|Nhóm hương:Chypre Floral|Phong cách:Khiêu Gợi|Phong cách:Mãnh Liệt|Phong cách:Rực Rỡ,size,100ml Eau de parfum,783320411168,4090000,standard,100,,,
,,,,,,30ml Eau de parfum,783320411182,1490000,standard,100,,,
,,,,,,5ml Eau de parfum (Mini),783320411205,390000,standard,100,,,
Nước hoa nữ Narciso Musc Noir Rose For Her EDP,nuoc-hoa-nu-narciso-musc-noir-rose-for-her-edp,"Hương đầu: Cam bergamot, mận, tiêu hồng<br/>
Hương giữa: Xạ hương, Hoa huệ, Hoa hồng<br/>
Hương cuối: Vani 
<p>Thương hiệu đình đám Narciso Rodriguez đã giới thiệu nước hoa nữ Musc Noir For Her vào năm 2021 như một lời tri ân dành cho vẻ đẹp bên trong của mỗi người phụ nữ và trong năm 2022 này, một phiên bản mới của dòng nước hoa xạ hương For Her mang tính biểu tượng - Musc Noir Rose đã chính thức ra mắt. </p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1645085722.3715.jpg"" alt=""""/></p>
<p>Musc Noir Rose For Her đánh dấu một chương mới trong hành trình lột tả sự nữ tính hiện đại của Narciso. Với hương thơm này, một người phụ nữ dẫu có mong manh nhất cũng có thể bộc lộ những khía cạnh cá nhân nhất trong sự nữ tính của mình, mà không cần giả vờ hay tưởng tượng. </p>
<p>Hương thơm này được mô tả là gợi cảm hơn và ít bí ẩn hơn so với Musc Noir. Musc Noir Rose có sự nồng nàn của hương hổ phách đi kèm với nét thoang thoảng nhẹ nhàng đặc trưng của xạ hương, rồi bao trùm lên một bó hoa hồng và hoa huệ đầy tươi mới tạo nên sự kết hợp đầy tính độc đáo. Bên cạnh đó, hương thơm còn được nâng lên bởi sự rực rỡ, ngọt ngào và đầy tươi mát của cam bergamot, mận và tiêu hồng lồng ghép khéo léo vào sự ấm áp của nhựa và vani. </p>
<p> </p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200209_433131.png,Sản phẩm:Nước hoa|Nhãn hiệu:Narciso Rodriguez|Giới tính:Nữ|Xuất xứ:Mỹ|Nồng độ:Eau De Parfum|Nhóm hương:Hương Hoa Cỏ Phương Đông|Nhóm hương:Oriental Floral|Phong cách:Nữ Tính|Phong cách:Quyến Rũ|Phong cách:Tinh Tế,size,100ml Eau de parfum,3423222055547,3650000,standard,100,,,
,,,,,,100ml Eau de parfum (Tester),3423222055677,3150000,standard,100,,,
,,,,,,50ml Eau de parfum,3423222055523,2760000,standard,100,,,
,,,,,,30ml Eau de parfum,3423222055516,1850000,standard,100,,,
Nước hoa nữ D&G Dolce Lily EDT,nuoc-hoa-nu-dandg-dolce-lily-edt,"Hương đầu: Cam Bergamot, Chanh leo<br/>
Hương giữa: Hoa Lily hồng, Hoa hồng <br/>
Hương cuối: Xạ hương, Gỗ đàn hương, Vani  
<p>Nước hoa D&amp;G Dolce Lily EDP - một mùi hương hoàn toàn mới vừa được ra mắt vào đầu năm 2022 đánh dấu sự trở lại của thương hiệu Dolce &amp; Gabbana và dòng nước hoa Dolce vốn đã quen thuộc.</p>
<p>Đại diện cho mùi hương lần này chính là Cassel Deva - người thể hiện năng lượng sống và tính cách đích thực của cô gái Dolce. Trong video quảng bá Dolce Lily, Cassel Deva xuất hiện trong chiếc váy hoa xinh đẹp, tự do đi dọc theo những hàng cây trên chiếc xe mui trần màu đỏ để hòa mình vào bầu không khí sôi động của Portofino, và thưởng thức cà phê với bạn bè trong chiếc quán nhỏ nhắn bên bến cảng. Một hình ảnh tràn đầy sự tự tin, tinh thần tươi vui, rạng rỡ và thu hút. </p>
<p style=""text-align: center;""><img class=""img-thumbnail"" src=""/uploads/galleries/2022/02/uri/1644823607.3379.jpg"" alt=""""/></p>
<p>Dolce Lily là hương thơm được tạo ra để tôn vinh loài hoa lily hồng quyến rũ, biểu tượng của sự nữ tính và lòng nhân ái. Với hương hoa trái cây được kết hợp giữa sự tinh tế của hoa lily hồng với hương chanh leo kỳ lạ trên nền xạ hương mềm mại, gợi cảm, Dolce Lily chắc chắn sẽ là mùi hương được yêu thích nhất trong xuân hè 2022. </p>
<p>Hương thơm mở ra với các loại trái cây sôi động như hương citrus của cam bergamot Ý tương phản với chanh dây kỳ lạ, tạo nên cảm giác như lạc vào khu vườn nhiệt đới trước khi thả mình đắm chìm trong hương hoa lily hồng lấp lánh xen lẫn sự tinh tế của những đoá hồng. Từ đó, sự rạng rỡ của hương thơm được đặt trên nền của xạ hương mềm mại, tăng thêm chất gợi cảm tinh tế. Gỗ đàn hương giúp lưu hương lâu hơn và mang lại chiều sâu, trong khi vani làm tăng thêm sự chú ý và gây nghiện tức khắc khi ai đó vô tình bắt gặp mùi hương này.</p>
<p>Vẫn là thiết kế với  những đường cong nữ tính và hình dáng thanh lịch đặc trưng của dòng nươc hoa Dolce, nhưng giờ đây được tô lên sắc hồng sặc sỡ, thể hiện tính cách sôi nổi của cô gái Dolce. Nắp hoa mang tính biểu tượng được mô phỏng lại bằng màu hồng rực rỡ như cánh hoa lily lấp lánh - hương thơm đặc trưng của phiên bản này. Thêm vào đó dải ruy băng grosgrain màu đen mỏng tô điểm cho phần cổ chai, tạo thêm nét thanh lịch cùng dòng chữ ‘lily’ được viết trên chai bằng màu cam nhạt nhằm gợi nhớ các khía cạnh trái cây của hương thơm bên trong.</p>
<p> </p> ",https://www.thegioinuochoa.com.vn/image/get?file=item_product%2Fthumb1500x500%2F202305%2F230503_200208_921168.png,Sản phẩm:Nước hoa|Nhãn hiệu:Dolce & Gabbana|Giới tính:Nữ|Xuất xứ:Ý|Nồng độ:Eau De Toilette|Nhóm hương:Hương Hoa Cỏ Trái Cây|Nhóm hương:Floral Fruity|Phong cách:Nữ Tính|Phong cách:Trẻ Trung|Phong cách:Quyến Rũ|Phong cách:Nổi Bật,size,75ml Eau de toilette,3423222052423,2500000,standard,100,,,
,,,,,,50ml Eau de toilette,3423222052416,2000000,standard,100,,,
